date,inflow,std
20110912,426.47088,0
20110913,453.79968,0
20110914,392.60016,0
20110915,365.44128,0
20110916,365.07312,0
20110917,436.75104,0
20110918,279.06528,0
20110919,225.34224,0
20110920,225.852,0
20110921,221.3208,0
20110922,175.584,0
20110923,157.884,0
20110924,144.68688,0
20110925,135.70944,0
20110926,126.36384,0
20110927,102.8016,0
20110928,85.69632,0
20110929,63.8616,0
20110930,76.63392,0
20111001,75.55776,0
20111002,164.56752,0
20111003,204.01728,0
20111004,173.00688,0
20111005,133.75536,0
20111006,103.67952,0
20111007,101.30064,0
20111008,98.32704,0
20111009,102.54672,0
20111010,187.22352,0
20111011,216.61968,0
20111012,363.94032,0
20111013,459.46368,0
20111014,348.36432,0
20111015,292.06416,0
20111016,310.6704,0
20111017,288.80736,0
20111018,233.66832,0
20111019,180.28512,0
20111020,157.43088,0
20111021,192.2928,0
20111022,227.38128,0
20111023,179.18064,0
20111024,209.8512,0
20111025,344.20128,0
20111026,372.35136,0
20111027,301.15488,0
20111028,238.65264,0
20111029,184.90128,0
20111030,168.41904,0
20111031,177.39648,0
20111101,181.87104,0
20111102,180.51168,0
20111103,305.74272,0
20111104,576.56688,0
20111105,508.17408,0
20111106,330.23952,0
20111107,247.14864,0
20111108,188.41296,0
20111109,256.63584,0
20111110,242.136,0
20111111,139.0512,0
20111112,129.90384,0
20111113,129.87552,0
20111114,129.87552,0
20111115,130.1304,0
20111116,126.76032,0
20111117,117.8112,0
20111118,117.41472,0
20111119,111.75072,0
20111120,111.75072,0
20111121,94.70208,0
20111122,107.70096,0
20111123,124.15488,0
20111124,110.64624,0
20111125,110.90112,0
20111126,106.96464,0
20111127,132.5376,0
20111128,162.5568,0
20111129,231.17616,0
20111130,196.88064,0
20111201,187.87488,0
20111202,149.69952,0
20111203,145.39488,0
20111204,145.11168,0
20111205,144.54528,0
20111206,139.95744,0
20111207,135.6528,0
20111208,126.78864,0
20111209,135.53952,0
20111210,131.31984,0
20111211,136.84224,0
20111212,136.84224,0
20111213,127.60992,0
20111214,139.87248,0
20111215,144.06384,0
20111216,139.87248,0
20111217,135.42624,0
20111218,127.38336,0
20111219,127.35504,0
20111220,126.93024,0
20111221,114.35616,0
20111222,107.70096,0
20111223,113.59152,0
20111224,140.7504,0
20111225,120.27504,0
20111226,116.42352,0
20111227,114.72432,0
20111228,118.71744,0
20111229,118.0944,0
20111230,109.82496,0
20111231,82.60944,0
20120101,139.44768,0
20120102,,0
20120103,,0
20120104,,0
20120105,,0
20120106,,0
20120107,,0
20120108,,0
20120109,,0
20120110,,0
20120111,,0
20120112,,0
20120113,,0
20120114,,0
20120115,,0
20120116,,0
20120117,,0
20120118,,0
20120119,,0
20120120,,0
20120121,,0
20120122,,0
20120123,,0
20120124,,0
20120125,,0
20120126,,0
20120127,,0
20120128,,0
20120129,,0
20120130,,0
20120131,,0
20120201,,0
20120202,,0
20120203,,0
20120204,,0
20120205,,0
20120206,,0
20120207,,0
20120208,,0
20120209,,0
20120210,,0
20120211,,0
20120212,,0
20120213,,0
20120214,,0
20120215,,0
20120216,,0
20120217,,0
20120218,,0
20120219,,0
20120220,,0
20120221,,0
20120222,,0
20120223,,0
20120224,,0
20120225,,0
20120226,,0
20120227,,0
20120228,,0
20120229,,0
20120301,,0
20120302,,0
20120303,,0
20120304,,0
20120305,,0
20120306,,0
20120307,,0
20120308,,0
20120309,,0
20120310,,0
20120311,,0
20120312,,0
20120313,,0
20120314,,0
20120315,,0
20120316,,0
20120317,,0
20120318,,0
20120319,,0
20120320,,0
20120321,,0
20120322,,0
20120323,,0
20120324,,0
20120325,,0
20120326,,0
20120327,,0
20120328,,0
20120329,,0
20120330,,0
20120331,,0
20120401,,0
20120402,,0
20120403,,0
20120404,,0
20120405,,0
20120406,,0
20120407,,0
20120408,,0
20120409,,0
20120410,,0
20120411,,0
20120412,,0
20120413,,0
20120414,,0
20120415,,0
20120416,,0
20120417,,0
20120418,,0
20120419,,0
20120420,,0
20120421,,0
20120422,,0
20120423,,0
20120424,,0
20120425,,0
20120426,,0
20120427,,0
20120428,,0
20120429,,0
20120430,,0
20120501,,0
20120502,,0
20120503,,0
20120504,,0
20120505,,0
20120506,,0
20120507,,0
20120508,,0
20120509,,0
20120510,,0
20120511,,0
20120512,,0
20120513,,0
20120514,,0
20120515,,0
20120516,,0
20120517,,0
20120518,,0
20120519,,0
20120520,,0
20120521,,0
20120522,,0
20120523,,0
20120524,,0
20120525,,0
20120526,,0
20120527,,0
20120528,,0
20120529,,0
20120530,,0
20120531,9.54384,0
20120601,11.38464,0
20120602,11.29968,0
20120603,7.67472,0
20120604,8.80752,0
20120605,6.57024,0
20120606,7.67472,0
20120607,8.80752,0
20120608,8.80752,0
20120609,8.38272,0
20120610,7.67472,0
20120611,8.80752,0
20120612,8.80752,0
20120613,9.94032,0
20120614,,0
20120615,8.80752,0
20120616,7.5048,0
20120617,8.69424,0
20120618,,0
20120619,,0
20120620,,0
20120621,,0
20120622,,0
20120623,,0
20120624,,0
20120625,,0
20120626,48.93696,0
20120627,49.78656,0
20120628,50.4096,0
20120629,62.53056,0
20120630,64.428,0
20120701,37.07088,0
20120702,21.35328,0
20120703,30.84048,0
20120704,77.11536,0
20120705,311.03856,0
20120706,331.57056,0
20120707,261.3936,0
20120708,118.63248,0
20120709,77.3136,0
20120710,49.67328,0
20120711,50.4096,0
20120712,43.10304,0
20120713,48.65376,0
20120714,55.30896,0
20120715,56.10192,0
20120716,56.10192,0
20120717,56.0736,0
20120718,58.65072,0
20120719,63.80496,0
20120720,63.74832,0
20120721,61.53936,0
20120722,55.28064,0
20120723,60.29328,0
20120724,66.52368,0
20120725,72.75408,0
20120726,87.19728,0
20120727,86.46096,0
20120728,87.70704,0
20120729,116.45184,0
20120730,154.0608,0
20120731,116.5368,0
20120801,112.91184,0
20120802,88.13184,0
20120803,91.0488,0
20120804,70.68672,0
20120805,51.03264,0
20120806,52.64688,0
20120807,236.69856,0
20120808,877.83504,0
20120809,823.57392,0
20120810,607.06752,0
20120811,594.5784,0
20120812,446.40816,0
20120813,392.85504,0
20120814,431.93664,0
20120815,297.47328,0
20120816,188.66784,0
20120817,156.07152,0
20120818,110.5896,0
20120819,90.22752,0
20120820,100.536,0
20120821,94.90032,0
20120822,80.9952,0
20120823,48.03072,0
20120824,75.41616,0
20120825,86.03616,0
20120826,85.61136,0
20120827,85.61136,0
20120828,186.65712,0
20120829,192.20784,0
20120830,189.744,0
20120831,344.85264,0
20120901,344.85264,0
20120902,395.14896,0
20120903,398.91552,0
20120904,402.37056,0
20120905,474.0768,0
20120906,466.8552,0
20120907,365.328,0
20120908,301.26816,0
20120909,271.0224,0
20120910,255.24816,0
20120911,240.80496,0
20120912,249.7824,0
20120913,223.75632,0
20120914,217.46928,0
20120915,194.1336,0
20120916,184.16496,0
20120917,167.42784,0
20120918,167.39952,0
20120919,167.39952,0
20120920,156.43968,0
20120921,165.30384,0
20120922,131.9712,0
20120923,128.5728,0
20120924,105.12384,0
20120925,95.04192,0
20120926,99.17664,0
20120927,95.66496,0
20120928,121.6344,0
20120929,160.716,0
20120930,148.62336,0
20121001,158.22384,0
20121002,176.51856,0
20121003,161.05584,0
20121004,147.03744,0
20121005,138.56976,0
20121006,359.74896,0
20121007,163.74624,0
20121008,178.61424,0
20121009,156.38304,0
20121010,127.24176,0
20121011,95.80656,0
20121012,98.32704,0
20121013,87.05568,0
20121014,133.07568,0
20121015,249.55584,0
20121016,205.20672,0
20121017,215.14704,0
20121018,177.59472,0
20121019,117.61296,0
20121020,102.32016,0
20121021,117.92448,0
20121022,107.50272,0
20121023,98.21376,0
20121024,82.4112,0
20121025,86.376,0
20121026,74.14176,0
20121027,66.72192,0
20121028,40.27104,0
20121029,53.69472,0
20121030,43.01808,0
20121031,40.95072,0
20121101,102.5184,0
20121102,154.68384,0
20121103,181.04976,0
20121104,161.31072,0
20121105,139.67424,0
20121106,135.59616,0
20121107,153.83424,0
20121108,116.56512,0
20121109,86.376,0
20121110,68.93088,0
20121111,69.21408,0
20121112,67.5432,0
20121113,64.39968,0
20121114,70.2336,0
20121115,65.19264,0
20121116,39.30816,0
20121117,36.16464,0
20121118,38.40192,0
20121119,32.79456,0
20121120,31.0104,0
20121121,29.736,0
20121122,24.29856,0
20121123,32.36976,0
20121124,32.34144,0
20121125,37.21248,0
20121126,51.08928,0
20121127,69.61056,0
20121128,71.508,0
20121129,63.66336,0
20121130,53.21328,0
20121201,57.7728,0
20121202,50.268,0
20121203,38.77008,0
20121204,42.7632,0
20121205,69.89376,0
20121206,78.7296,0
20121207,98.95008,0
20121208,61.28448,0
20121209,77.65344,0
20121210,57.40464,0
20121211,60.85968,0
20121212,55.11072,0
20121213,50.21136,0
20121214,51.51408,0
20121215,51.06096,0
20121216,54.06288,0
20121217,53.6664,0
20121218,56.3568,0
20121219,60.12336,0
20121220,61.42608,0
20121221,60.01008,0
20121222,64.45632,0
20121223,67.4016,0
20121224,66.29712,0
20121225,66.24048,0
20121226,64.34304,0
20121227,68.42112,0
20121228,67.71312,0
20121229,66.63696,0
20121230,63.2952,0
20121231,53.18496,0
20130101,,0
20130102,,0
20130103,,0
20130104,,0
20130105,,0
20130106,,0
20130107,,0
20130108,,0
20130109,,0
20130110,,0
20130111,,0
20130112,,0
20130113,,0
20130114,,0
20130115,,0
20130116,,0
20130117,,0
20130118,,0
20130119,,0
20130120,,0
20130121,,0
20130122,11.63952,0
20130123,10.13856,0
20130124,10.13856,0
20130125,11.63952,0
20130126,8.60928,0
20130127,10.13856,0
20130128,10.13856,0
20130129,8.60928,0
20130130,10.13856,0
20130131,10.13856,0
20130201,8.60928,0
20130202,32.4264,0
20130203,9.99696,0
20130204,8.6376,0
20130205,,0
20130206,,0
20130207,,0
20130208,,0
20130209,,0
20130210,,0
20130211,,0
20130212,,0
20130213,,0
20130214,,0
20130215,,0
20130216,,0
20130217,,0
20130218,,0
20130219,,0
20130220,,0
20130221,,0
20130222,,0
20130223,,0
20130224,,0
20130225,,0
20130226,,0
20130227,,0
20130228,,0
20130301,,0
20130302,,0
20130303,,0
20130304,,0
20130305,,0
20130306,,0
20130307,,0
20130308,,0
20130309,,0
20130310,,0
20130311,,0
20130312,,0
20130313,,0
20130314,,0
20130315,,0
20130316,,0
20130317,,0
20130318,,0
20130319,,0
20130320,,0
20130321,,0
20130322,,0
20130323,,0
20130324,,0
20130325,,0
20130326,,0
20130327,,0
20130328,,0
20130329,,0
20130330,,0
20130331,,0
20130401,,0
20130402,,0
20130403,,0
20130404,,0
20130405,,0
20130406,,0
20130407,,0
20130408,,0
20130409,,0
20130410,,0
20130411,,0
20130412,,0
20130413,,0
20130414,,0
20130415,,0
20130416,,0
20130417,,0
20130418,,0
20130419,,0
20130420,,0
20130421,,0
20130422,,0
20130423,,0
20130424,,0
20130425,,0
20130426,,0
20130427,,0
20130428,,0
20130429,,0
20130430,,0
20130501,,0
20130502,,0
20130503,,0
20130504,,0
20130505,,0
20130506,,0
20130507,,0
20130508,,0
20130509,,0
20130510,,0
20130511,,0
20130512,,0
20130513,,0
20130514,,0
20130515,,0
20130516,,0
20130517,,0
20130518,,0
20130519,,0
20130520,,0
20130521,,0
20130522,,0
20130523,,0
20130524,,0
20130525,,0
20130526,,0
20130527,,0
20130528,,0
20130529,,0
20130530,,0
20130531,,0
20130601,,0
20130602,,0
20130603,,0
20130604,,0
20130605,,0
20130606,,0
20130607,,0
20130608,,0
20130609,,0
20130610,,0
20130611,5.60736,0
20130612,6.42864,0
20130613,13.62192,0
20130614,50.46624,0
20130615,176.46192,0
20130616,113.73312,0
20130617,212.88144,0
20130618,333.55296,0
20130619,327.2376,0
20130620,355.52928,0
20130621,233.3568,0
20130622,210.1344,0
20130623,167.11632,0
20130624,112.45872,0
20130625,106.87968,0
20130626,219.08352,0
20130627,574.3296,0
20130628,675.91344,0
20130629,514.9992,0
20130630,279.46176,0
20130701,164.256,0
20130702,123.78672,0
20130703,154.65552,0
20130704,389.5416,0
20130705,922.32576,0
20130706,1253.13168,0
20130707,1088.79072,0
20130708,814.45488,0
20130709,543.99888,0
20130710,402.88032,0
20130711,319.08144,0
20130712,399.53856,0
20130713,448.84368,0
20130714,571.46928,0
20130715,505.48368,0
20130716,273.91104,0
20130717,252.756,0
20130718,326.86944,0
20130719,351.84768,0
20130720,678.80208,0
20130721,1240.61424,0
