Date,Simulated Storage,
20110911,21.96925417,
20110912,21.94806537,
20110913,21.91628217,
20110914,21.90568777,
20110915,21.9869115,
20110916,22.06813524,
20110917,21.83152697,
20110918,21.73617737,
20110919,21.8385899,
20110920,21.81033817,
20110921,21.79268084,
20110922,21.7856179,
20110923,21.77855497,
20110924,21.76796057,
20110925,21.75736617,
20110926,21.74677177,
20110927,21.74677177,
20110928,21.74677177,
20110929,21.73970884,
20110930,21.7220515,
20111001,21.70792564,
20111002,21.69379977,
20111003,21.67614244,
20111004,21.6584851,
20111005,21.6372963,
20111006,21.6161075,
20111007,21.59138724,
20111008,21.56666697,
20111009,21.54547817,
20111010,21.52782083,
20111011,21.51722643,
20111012,21.5101635,
20111013,21.58079284,
20111014,21.64082777,
20111015,21.71852004,
20111016,21.79268084,
20111017,21.84212137,
20111018,21.89509337,
20111019,21.93040804,
20111020,21.93747097,
20111021,21.94100244,
20111022,21.9551283,
20111023,21.9551283,
20111024,22.28708617,
20111025,22.37184137,
20111026,22.43893924,
20111027,22.48131684,
20111028,22.66142164,
20111029,22.71086217,
20111030,22.77796004,
20111031,22.79914884,
20111101,22.80621177,
20111102,22.85212084,
20111103,22.9298131,
20111104,23.02163124,
20111105,23.09579204,
20111106,23.1522955,
20111107,23.2052675,
20111108,23.2264563,
20111109,23.22998777,
20111110,23.2158619,
20111111,23.1946731,
20111112,23.1628899,
20111113,23.1205123,
20111114,23.0781347,
20111115,23.0251627,
20111116,22.9721907,
20111117,22.90509284,
20111118,22.85212084,
20111119,22.79561737,
20111120,22.72145657,
20111121,22.65082724,
20111122,22.62963844,
20111123,22.60844964,
20111124,22.58372937,
20111125,22.5590091,
20111126,22.53428884,
20111127,22.5166315,
20111128,22.48837977,
20111129,22.43540777,
20111130,22.3789043,
20111201,22.31886937,
20111202,22.25530297,
20111203,22.1882051,
20111204,22.12110724,
20111205,22.05754084,
20111206,22.02575764,
20111207,21.9869115,
20111208,21.94806537,
20111209,21.90921924,
20111210,21.86684164,
20111211,21.8279955,
20111212,21.78914937,
20111213,21.75030324,
20111214,21.70792564,
20111215,21.6478907,
20111216,21.5525411,
20111217,21.4571915,
20111218,21.36537337,
20111219,21.2982755,
20111220,21.23117763,
20111221,21.15701683,
20111222,21.1075763,
20111223,21.03694697,
20111224,20.99456937,
20111225,20.97338057,
20111226,20.9592547,
20111227,20.93453443,
20111228,20.90981417,
20111229,20.88156243,
20111230,20.51782137,
20111231,20.15054883,
20120101,20.1222971,
20120102,20.09404537,
20120103,20.06579363,
20120104,20.04460483,
20120105,20.02341603,
20120106,20.00222723,
20120107,19.98103843,
20120108,19.95631817,
20120109,19.93866083,
20120110,19.91747203,
20120111,19.8998147,
20120112,19.89275177,
20120113,19.88568883,
20120114,19.8786259,
20120115,19.87156297,
20120116,19.88215737,
20120117,19.87509443,
20120118,19.87509443,
20120119,19.88568883,
20120120,19.89628323,
20120121,19.90687763,
20120122,19.91747203,
20120123,19.92806643,
20120124,19.93512937,
20120125,19.93866083,
20120126,19.94572377,
20120127,19.94572377,
20120128,19.94925523,
20120129,19.9527867,
20120130,19.95631817,
20120131,19.95984963,
20120201,19.95984963,
20120202,19.95631817,
20120203,19.9527867,
20120204,19.94925523,
20120205,19.94925523,
20120206,19.94572377,
20120207,19.94572377,
20120208,19.9421923,
20120209,19.9421923,
20120210,19.93866083,
20120211,19.93512937,
20120212,19.9315979,
20120213,19.92806643,
20120214,19.92806643,
20120215,19.92453497,
20120216,19.9210035,
20120217,19.91747203,
20120218,19.91394057,
20120219,19.9104091,
20120220,19.90687763,
20120221,19.90687763,
20120222,19.8998147,
20120223,19.89628323,
20120224,19.89275177,
20120225,19.8892203,
20120226,19.88568883,
20120227,19.8786259,
20120228,19.87509443,
20120229,19.87156297,
20120301,19.86450003,
20120302,19.86096857,
20120303,19.85390563,
20120304,19.83271683,
20120305,19.80093363,
20120306,19.76561897,
20120307,19.70558403,
20120308,19.62789177,
20120309,19.62082883,
20120310,19.61729737,
20120311,19.6137659,
20120312,19.61023443,
20120313,19.6031715,
20120314,19.60670297,
20120315,19.59964003,
20120316,19.22530456,
20120317,18.93925576,
20120318,18.7450251,
20120319,18.57198323,
20120320,18.4271931,
20120321,18.2894659,
20120322,18.15527016,
20120323,18.02107443,
20120324,17.88334723,
20120325,17.7491515,
20120326,17.60789283,
20120327,17.46663416,
20120328,17.32184403,
20120329,17.18058536,
20120330,17.03932669,
20120331,16.91219389,
20120401,16.78506109,
20120402,16.44604029,
20120403,15.91278883,
20120404,15.37600589,
20120405,14.94869842,
20120406,14.58848882,
20120407,14.09761496,
20120408,13.41251042,
20120409,12.98167149,
20120410,12.66030802,
20120411,12.38485362,
20120412,12.13058802,
20120413,11.90810562,
20120414,11.75272109,
20120415,11.57967922,
20120416,11.40663735,
20120417,11.23006402,
20120418,11.04642775,
20120419,10.86279148,
20120420,10.85926002,
20120421,10.86632295,
20120422,10.86279148,
20120423,10.85926002,
20120424,10.85926002,
20120425,10.86279148,
20120426,10.86632295,
20120427,10.72859575,
20120428,10.59793148,
20120429,10.45667282,
20120430,10.31188268,
20120501,10.17415548,
20120502,10.02936535,
20120503,9.891638149,
20120504,9.760973883,
20120505,9.637372549,
20120506,9.506708282,
20120507,9.376044015,
20120508,8.796883481,
20120509,8.595589881,
20120510,8.461394147,
20120511,8.45786268,
20120512,8.517897614,
20120513,8.44726828,
20120514,8.348387214,
20120515,8.21419148,
20120516,8.09765308,
20120517,8.016429346,
20120518,7.945800013,
20120519,7.843387479,
20120520,7.769226679,
20120521,7.691534412,
20120522,7.617373612,
20120523,7.550275746,
20120524,7.493772279,
20120525,7.493772279,
20120526,7.490240812,
20120527,7.490240812,
20120528,7.490240812,
20120529,7.486709345,
20120530,7.490240812,
20120531,7.486709345,
20120601,7.486709345,
20120602,7.423142945,
20120603,7.296010145,
20120604,7.175940278,
20120605,7.126499745,
20120606,7.331324812,
20120607,7.574996012,
20120608,7.557338679,
20120609,7.465520545,
20120610,7.352513612,
20120611,7.274821345,
20120612,7.257164012,
20120613,7.172408812,
20120614,7.204192012,
20120615,7.105310945,
20120616,7.115905345,
20120617,7.207723478,
20120618,8.02349228,
20120619,8.758037348,
20120620,9.255974148,
20120621,9.305414682,
20120622,9.305414682,
20120623,9.255974148,
20120624,9.167687482,
20120625,9.107652548,
20120626,9.015834415,
20120627,8.938142148,
20120628,9.443141882,
20120629,10.18474988,
20120630,10.29069388,
20120701,10.28716242,
20120702,10.52730215,
20120703,10.75331602,
20120704,10.83453975,
20120705,10.86632295,
20120706,10.89810615,
20120707,10.93342082,
20120708,10.98992428,
20120709,10.95814108,
20120710,10.98286135,
20120711,10.92635788,
20120712,10.92635788,
20120713,10.85572855,
20120714,10.79922508,
20120715,10.78156775,
20120716,10.73212722,
20120717,10.67209228,
20120718,10.75331602,
20120719,10.79216215,
20120720,10.74272162,
20120721,10.70034402,
20120722,10.93695228,
20120723,11.04642775,
20120724,11.26891015,
20120725,11.27597308,
20120726,11.63618269,
20120727,12.20474882,
20120728,12.47667175,
20120729,12.62499335,
20120730,12.65677655,
20120731,12.67090242,
20120801,12.72034295,
20120802,12.77331495,
20120803,12.83688135,
20120804,12.92516802,
20120805,13.00992322,
20120806,13.70209069,
20120807,14.87806909,
20120808,15.50313869,
20120809,16.10701949,
20120810,16.60848776,
20120811,17.16999096,
20120812,17.6643963,
20120813,17.87275283,
20120814,17.9928227,
20120815,18.0987667,
20120816,18.2364939,
20120817,18.3530323,
20120818,18.54020003,
20120819,18.74855656,
20120820,18.85803203,
20120821,18.9569131,
20120822,19.0522627,
20120823,19.1476123,
20120824,19.24649336,
20120825,19.35596883,
20120826,19.8044651,
20120827,19.99869577,
20120828,20.3341851,
20120829,20.7473667,
20120830,21.2558979,
20120831,21.6690795,
20120901,22.11757577,
20120902,22.3365267,
20120903,22.55194617,
20120904,23.15935844,
20120905,23.38890377,
20120906,23.51956804,
20120907,23.51956804,
20120908,23.51956804,
20120909,23.51956804,
20120910,23.51956804,
20120911,23.51956804,
20120912,23.51956804,
20120913,23.51956804,
20120914,23.51956804,
20120915,23.51956804,
20120916,23.51956804,
20120917,23.51956804,
20120918,23.51956804,
20120919,23.51956804,
20120920,23.51956804,
20120921,23.51956804,
20120922,23.51956804,
20120923,23.51956804,
20120924,23.51956804,
20120925,23.51956804,
20120926,23.51956804,
20120927,23.51956804,
20120928,23.51956804,
20120929,23.51956804,
20120930,23.51956804,
20121001,23.51956804,
20121002,23.51956804,
20121003,23.51956804,
20121004,23.51956804,
20121005,23.51956804,
20121006,23.51956804,
20121007,23.51956804,
20121008,23.51956804,
20121009,23.51956804,
20121010,23.51956804,
20121011,23.51956804,
20121012,23.51956804,
20121013,23.51956804,
20121014,23.51956804,
20121015,23.51956804,
20121016,23.51956804,
20121017,23.51956804,
20121018,23.51956804,
20121019,23.51956804,
20121020,23.51956804,
20121021,23.51956804,
20121022,23.51956804,
20121023,23.51956804,
20121024,23.51956804,
20121025,23.51956804,
20121026,23.51956804,
20121027,23.51956804,
20121028,23.51956804,
20121029,23.51956804,
20121030,23.51956804,
20121031,23.51956804,
20121101,23.51956804,
20121102,23.51956804,
20121103,23.51956804,
20121104,23.51956804,
20121105,23.51956804,
20121106,23.51956804,
20121107,23.51956804,
20121108,23.51956804,
20121109,23.51956804,
20121110,23.51956804,
20121111,23.51956804,
20121112,23.51956804,
20121113,23.51956804,
20121114,23.51956804,
20121115,23.51956804,
20121116,23.51956804,
20121117,23.51956804,
20121118,23.51956804,
20121119,23.51956804,
20121120,23.51956804,
20121121,23.51956804,
20121122,23.51956804,
20121123,23.51956804,
20121124,23.51956804,
20121125,23.51956804,
20121126,23.51956804,
20121127,23.51956804,
20121128,23.51956804,
20121129,23.51956804,
20121130,23.51956804,
20121201,23.51956804,
20121202,23.51956804,
20121203,23.51956804,
20121204,23.51956804,
20121205,23.51956804,
20121206,23.51956804,
20121207,23.51956804,
20121208,23.51956804,
20121209,23.51956804,
20121210,23.51956804,
20121211,23.51956804,
20121212,23.51956804,
20121213,23.51956804,
20121214,23.51956804,
20121215,23.51956804,
20121216,23.51956804,
20121217,23.51956804,
20121218,23.51956804,
20121219,23.51956804,
20121220,23.51956804,
20121221,23.51956804,
20121222,23.51956804,
20121223,23.51956804,
20121224,23.51956804,
20121225,23.51956804,
20121226,23.51956804,
20121227,23.51956804,
20121228,23.51956804,
20121229,23.51956804,
20121230,23.51956804,
20121231,23.51956804,
20130101,23.51956804,
20130102,23.51956804,
20130103,23.51956804,
20130104,23.51956804,
20130105,23.51956804,
20130106,23.51956804,
20130107,23.51956804,
20130108,23.51956804,
20130109,23.51956804,
20130110,23.51956804,
20130111,23.51956804,
20130112,23.51956804,
20130113,23.51956804,
20130114,23.51956804,
20130115,23.51956804,
20130116,23.51956804,
20130117,23.51956804,
20130118,23.51956804,
20130119,23.51956804,
20130120,23.51956804,
20130121,23.51956804,
20130122,23.51956804,
20130123,23.51956804,
20130124,23.51956804,
20130125,23.51956804,
20130126,23.51956804,
20130127,23.51956804,
20130128,23.51956804,
20130129,23.51956804,
20130130,23.51956804,
20130131,23.51603657,
20130201,23.5125051,
20130202,23.41009257,
20130203,22.94393897,
20130204,22.40715604,
20130205,21.05107283,
20130206,20.0481363,
20130207,19.04519976,
20130208,18.3530323,
20130209,18.0140115,
20130210,17.80565496,
20130211,17.23708883,
20130212,16.59436189,
20130213,15.77153016,
20130214,14.72974749,
20130215,14.21062189,
20130216,13.84688082,
20130217,13.34541255,
20130218,12.80156669,
20130219,12.03170695,
20130220,10.08233735,
20130221,8.581464014,
20130222,6.515556011,
20130223,5.198318942,
20130224,4.248354407,
20130225,3.398330379,
20130226,2.548306351,
20130227,1.698282323,
20130228,0.848611441,
20130301,0,
20130302,0,
20130303,0,
20130304,0,
20130305,0,
20130306,0,
20130307,0,
20130308,0,
20130309,0,
20130310,0,
20130311,0,
20130312,0,
20130313,0,
20130314,0,
20130315,0,
20130316,0,
20130317,0,
20130318,0,
20130319,0,
20130320,0,
20130321,0,
20130322,0,
20130323,0,
20130324,0,
20130325,0,
20130326,0,
20130327,0,
20130328,0,
20130329,0,
20130330,0,
20130331,0,
20130401,0,
20130402,0,
20130403,0,
20130404,0,
20130405,0,
20130406,0,
20130407,0,
20130408,0,
20130409,0,
20130410,0,
20130411,0,
20130412,0,
20130413,0,
20130414,0,
20130415,0,
20130416,0,
20130417,0,
20130418,0,
20130419,0,
20130420,0,
20130421,0,
20130422,0,
20130423,0,
20130424,0,
20130425,0,
20130426,0,
20130427,0,
20130428,0,
20130429,0,
20130430,0,
20130501,0,
20130502,0,
20130503,0,
20130504,0,
20130505,0,
20130506,0,
