Date,Evapotranspiration
20120331,148500
20120401,177300
20120402,74530
20120403,154500
20120404,142500
20120405,185500
20120406,116200
20120407,137400
20120408,179500
20120409,135800
20120410,114300
20120411,137700
20120412,127000
20120413,115700
20120414,109400
20120415,137300
20120416,112300
20120417,37680
20120418,126800
20120419,35380
20120420,119000
20120421,36420
20120422,87320
20120423,114400
20120424,67080
20120425,33950
20120426,46780
20120427,48610
20120428,39020
20120429,59340
20120430,111200
20120501,34250
20120502,90870
20120503,32390
20120504,25500
20120505,89120
20120506,83530
20120507,81000
20120508,87460
20120509,73350
20120510,79430
20120511,64230
20120512,23260
20120513,34350
20120514,85460
20120515,75770
20120516,89740
20120517,35270
20120518,86520
20120519,78950
20120520,69510
20120521,67020
20120522,23880
20120523,86550
20120524,68300
20120525,74120
20120526,67010
20120527,78040
20120528,101600
20120529,75320
20120530,23550
20120531,85560
20120601,76680
20120602,18650
20120603,8170
20120604,9537
20120605,26570
20120606,16460
20120607,34960
20120608,24710
20120609,41090
20120610,25430
20120611,16600
20120612,29670
20120613,34010
20120614,31770
20120615,37690
20120616,6073
20120617,26760
20120618,12110
20120619,14680
20120620,12850
20120621,33540
20120622,18840
20120623,37100
20120624,31880
20120625,26380
20120626,47340
20120627,16790
20120628,7963
20120629,7890
20120630,54910
20120701,21890
20120702,20870
20120703,17980
20120704,37740
20120705,33680
20120706,44090
20120707,42610
20120708,37840
20120709,30960
20120710,15320
20120711,35440
20120712,12300
20120713,15720
20120714,19130
20120715,13940
20120716,35330
20120717,29380
20120718,49070
20120719,46890
20120720,21210
20120721,9099
20120722,49440
20120723,39800
20120724,49880
20120725,32040
20120726,27940
20120727,53290
20120728,25350
20120729,70900
20120730,60960
20120731,61030
20120801,41550
20120802,46540
20120803,62470
20120804,28080
20120805,27390
20120806,21340
20120807,35260
20120808,38170
20120809,46590
20120810,50020
20120811,50750
20120812,22780
20120813,89190
20120814,58870
20120815,59300
20120816,35480
20120817,47240
20120818,43610
20120819,56500
20120820,187000
20120821,168400
20120822,148700
20120823,164800
20120824,67550
20120825,69730
20120826,76970
20120827,61450
20120828,38880
20120829,68400
20120830,83690
20120831,55030
20120901,113300
20120902,99300
20120903,126000
20120904,79750
20120905,106400
20120906,80100
20120907,73220
20120908,104100
20120909,88470
20120910,46270
20120911,71490
20120912,85860
20120913,99470
20120914,48990
20120915,67380
20120916,96720
20120917,119100
20120918,85940
20120919,67280
20120920,259900
20120921,205400
20120922,61690
20120923,74780
20120924,172100
20120925,94560
20120926,198200
20120927,171900
20120928,77230
20120929,66340
20120930,66040
20121001,85080
20121002,107200
20121003,71760
20121004,239100
20121005,119600
20121006,188500
20121007,103700
20121008,54970
20121009,98900
20121010,95600
20121011,223300
20121012,259400
20121013,184300
20121014,109600
20121015,71040
20121016,58580
20121017,95660
20121018,207900
20121019,209100
20121020,74330
20121021,58880
20121022,92740
20121023,67820
20121024,208800
20121025,196700
20121026,156800
20121027,242400
20121028,191500
20121029,200800
20121030,162300
20121031,216700
20121101,94540
20121102,93080
20121103,57750
20121104,77800
20121105,66750
20121106,74020
20121107,186000
20121108,178900
20121109,166400
20121110,143000
20121111,171900
20121112,184400
20121113,144500
20121114,151600
20121115,166300
20121116,222300
20121117,156400
20121118,169000
20121119,161800
20121120,182000
20121121,163000
20121122,159700
20121123,182100
20121124,160800
20121125,181900
20121126,162300
20121127,182600
20121128,194400
20121129,171000
20121130,174500
20121201,141700
20121202,173200
20121203,139800
20121204,62690
20121205,60120
20121206,162400
20121207,132300
20121208,171800
20121209,139300
20121210,137000
20121211,206100
20121212,147400
20121213,137400
20121214,145100
20121215,137800
20121216,128400
20121217,126900
20121218,161200
20121219,153400
20121220,167700
20121221,199200
20121222,163100
20121223,166300
20121224,166500
20121225,146200
20121226,159900
20121227,175700
20121228,173100
20121229,200300
20121230,42800
20121231,154100
20130101,199000
20130102,183600
20130103,188000
20130104,173400
20130105,177000
20130106,149800
20130107,224900
20130108,156300
20130109,148800
20130110,182100
20130111,152800
20130112,160500
20130113,162300
20130114,179200
20130115,149600
20130116,149700
20130117,151000
20130118,174300
20130119,177100
20130120,154600
20130121,163600
20130122,177800
20130123,189800
20130124,181300
20130125,193000
20130126,181900
20130127,159700
20130128,144400
20130129,142600
20130130,151600
20130131,188500
20130201,175000
20130202,181500
20130203,173900
20130204,185600
20130205,201900
20130206,144500
20130207,143800
20130208,66790
20130209,146200
20130210,42890
20130211,170400
20130212,139900
20130213,116100
20130214,113900
20130215,52610
20130216,46670
20130217,40900
20130218,56970
20130219,100600
20130220,90300
20130221,90780
20130222,71660
20130223,55640
20130224,46000
20130225,40040
20130226,34990
20130227,25320
20130228,18900
20130301,8965
20130302,0
20130303,0
20130304,0
20130305,0
20130306,0
20130307,0
20130308,0
20130309,0
20130310,0
20130311,0
20130312,0
20130313,0
20130314,0
20130315,0
20130316,0
20130317,0
20130318,0
20130319,0
20130320,0
20130321,0
20130322,0
20130323,0
20130324,0
20130325,0
20130326,0
20130327,0
20130328,0
20130329,0
20130330,0
20130331,0
20130401,0
20130402,0
20130403,0
20130404,0
20130405,0
20130406,0
20130407,0
20130408,0
20130409,0
20130410,0
20130411,0
20130412,0
20130413,0
20130414,0
20130415,0
20130416,0
20130417,0
20130418,0
20130419,0
20130420,0
20130421,0
20130422,0
20130423,0
20130424,0
20130425,0
20130426,0
20130427,0
20130428,0
20130429,0
20130430,0
20130501,0
20130502,0
20130503,0
20130504,0
20130505,0
20130506,0
20130507,0
20130508,0
20130509,0
20130510,0
20130511,0
20130512,0
20130513,0
20130514,0
20130515,0
20130516,0
20130517,0
20130518,0
20130519,0
20130520,0
20130521,0
20130522,0
20130523,0
20130524,0
20130525,0
20130526,0
20130527,0
20130528,0
20130529,0
20130530,0
20130531,28.08
20130601,0
20130602,0
20130603,0
20130604,17.15
20130605,0
20130606,0
20130607,0
20130608,0
20130609,0
20130610,0
20130611,0
20130612,0
20130613,0
20130614,0
20130615,0
20130616,0
20130617,0
20130618,0
20130619,0
20130620,0
20130621,0
20130622,0
20130623,0
20130624,0
20130625,0
20130626,118.1
20130627,311.3
20130628,639.6
20130629,384.4
20130630,0
20130701,0
20130702,0
20130703,0
20130704,0
20130705,2937
20130706,5963
20130707,4122
20130708,4218
20130709,6361
20130710,2748
20130711,4164
20130712,3878
20130713,2810
20130714,2968
20130715,2780
20130716,1392
20130717,1592
20130718,1685
20130719,3012
20130720,1538
20130721,4538
20130722,6862
20130723,4846
20130724,2419
20130725,6383
20130726,7862
20130727,9893
20130728,6496
20130729,4705
20130730,10500
20130731,6190
20130801,12380
20130802,2499
20130803,11950
20130804,14840
20130805,17550
20130806,9722
20130807,12660
20130808,15540
20130809,17850
20130810,10650
20130811,13340
20130812,15250
20130813,19290
20130814,15730
20130815,19400
20130816,30550
20130817,17800
20130818,19740
20130819,17990
20130820,22190
20130821,14960
20130822,13070
20130823,19330
20130824,22780
20130825,13040
20130826,9875
20130827,12120
20130828,25080
20130829,29230
20130830,14490
20130831,50910
20130901,25410
20130902,14710
20130903,23520
20130904,28500
20130905,12740
20130906,14270
20130907,24170
20130908,40640
20130909,21390
20130910,32750
20130911,22390
20130912,26720
20130913,34480
20130914,22880
20130915,22860
20130916,31110
20130917,28640
20130918,14790
20130919,21790
20130920,29030
20130921,38500
20130922,29340
20130923,35110
20130924,26920
20130925,25900
20130926,39280
20130927,80820
20130928,107300
20130929,18600
20130930,83540
20131001,28480
20131002,40610
20131003,84720
20131004,89520
20131005,75880
20131006,22050
20131007,26790
20131008,101700
20131009,93560
20131010,88310
20131011,92690
20131012,38890
20131013,46590
20131014,100200
20131015,92920
20131016,28210
20131017,21590
20131018,39010
20131019,24220
20131020,47320
20131021,92740
20131022,51000
20131023,43310
20131024,38640
20131025,32690
20131026,49850
20131027,78830
20131028,93490
20131029,99700
20131030,43630
20131031,102300
20131101,75990
20131102,34850
20131103,85970
20131104,33600
20131105,79270
20131106,84190
20131107,74450
20131108,75620
20131109,83320
20131110,87780
20131111,78010
20131112,76470
20131113,33910
20131114,83390
20131115,70410
20131116,70800
20131117,33410
20131118,77260
20131119,36850
20131120,79420
20131121,84590
20131122,80830
20131123,85890
20131124,36050
20131125,29790
20131126,32770
20131127,82100
20131128,34180
20131129,91570
20131130,73840
20131201,69160
20131202,31870
20131203,66880
20131204,79930
20131205,72010
20131206,81400
20131207,72980
20131208,72290
20131209,84410
20131210,71170
20131211,81140
20131212,74880
20131213,87280
20131214,99230
20131215,75020
20131216,71930
20131217,86360
20131218,74050
20131219,78470
20131220,71650
20131221,87210
20131222,77770
20131223,82750
20131224,76130
20131225,86380
20131226,78730
20131227,99260
20131228,81160
20131229,74000
20131230,80780
20131231,71950
20140101,78360
20140102,86740
20140103,80630
20140104,75220
20140105,74530
20140106,102300
20140107,88200
20140108,79620
20140109,101000
20140110,88800
20140111,99230
20140112,76240
20140113,75270
20140114,117600
20140115,111600
20140116,96370
20140117,82970
20140118,41750
20140119,77790
20140120,97310
20140121,96450
20140122,87800
20140123,86810
20140124,87620
20140125,85480
20140126,84440
20140127,75750
20140128,83890
20140129,76760
20140130,81470
20140131,80420
20140201,84570
20140202,87210
20140203,91990
20140204,86920
20140205,83560
20140206,102000
20140207,106000
20140208,101900
20140209,88920
20140210,85930
20140211,91060
20140212,96840
20140213,85530
20140214,94560
20140215,83020
20140216,83280
20140217,87370
20140218,76410
20140219,84360
20140220,101200
20140221,73670
20140222,70640
20140223,67760
20140224,63500
20140225,62770
20140226,67020
20140227,63360
20140228,67300
20140301,71770
20140302,68450
20140303,60520
20140304,59820
20140305,58770
20140306,44800
20140307,40020
20140308,16080
20140309,22240
20140310,1606
20140311,0
20140312,0
20140313,0
20140314,0
20140315,0
20140316,0
20140317,0
20140318,0
20140319,0
20140320,0
20140321,0
20140322,0
20140323,0
20140324,0
20140325,0
20140326,0
20140327,0
20140328,0
20140329,0
20140330,0
20140331,0
20140401,0
20140402,0
20140403,0
20140404,0
20140405,0
20140406,0
20140407,0
20140408,0
20140409,0
20140410,0
20140411,0
20140412,0
20140413,0
20140414,0
20140415,0
20140416,0
20140417,0
20140418,0
20140419,0
20140420,0
20140421,0
20140422,0
20140423,0
20140424,0
20140425,0
20140426,0
20140427,0
20140428,0
20140429,0
20140430,0
20140501,0
20140502,0
20140503,0
20140504,0
20140505,0
20140506,91.74
20140507,0
20140508,0
20140509,0
20140510,4945
20140511,2952
20140512,770.7
20140513,0
20140514,0
20140515,0
20140516,0
20140517,0
20140518,0
20140519,0
20140520,0
20140521,0
20140522,0
20140523,0
20140524,0
20140525,0
20140526,0
20140527,0
20140528,0
20140529,0
20140530,0
20140531,0
20140601,0
20140602,0
20140603,0
20140604,0
20140605,0
20140606,0
20140607,0
20140608,0
20140609,0
20140610,0
20140611,0
20140612,0
20140613,0
20140614,0
20140615,0
20140616,0
20140617,0
20140618,0
20140619,0
20140620,0
20140621,0
