date,storage,reservoir level,observed inflow,observed outflow,simulated inflow,simulated outflow,simulated precipitation,simulated evapotranspiration,simulated storage,precipitation,evapotranspiration,soil moisture
1/16/2013,,,,,23.33,23.33,0,0,0,0,0,117
1/17/2013,,,,,22.55,22.55,0,0,0,0,0,117
1/18/2013,,,,,20.35,20.35,0,0,0,0,0,117
1/19/2013,,,,,19.07,19.07,0,0,0,0,0,117
1/20/2013,,,,,18.6,18.6,0,0,0,0,0,117
1/21/2013,,,,,17.63,17.63,0,0,0,0,0,117
1/22/2013,5.52,2254.81,3.56832,14.16,16.46,16.46,0,0,0,0,0,117
1/23/2013,5.48,2254.7,3.56832,14.16,14.55,14.55,0,0,0,0,0,117
1/24/2013,5.44,2254.59,3.54,14.16,12.81,12.81,0,0,0,0,0,117
1/25/2013,5.41,2254.48,3.54,14.16,11.54,11.54,0,0,0,0,0,117
1/26/2013,5.37,2254.37,3.54,14.16,10.64,10.64,0,0,0,0,0,117
1/27/2013,5.34,2254.26,3.54,14.16,8.918,8.918,0,0,0,0,0,117
1/28/2013,5.3,2254.15,3.54,14.16,6.936,6.936,0,0,0,0,0,117
1/29/2013,5.27,2254.04,3.54,14.16,6.495,6.495,0,0,0,0,0,117
1/30/2013,5.23,2253.92,2.77536,14.16,6.09,6.09,0,0,0,0,0,117
1/31/2013,5.19,2253.8,2.94528,14.16,5.238,5.238,0,0,0,0,0,117
2/1/2013,5.15,2253.68,2.94528,14.16,5.192,5.192,0,0,0,0,0,117
2/2/2013,5.1,2253.44,3.03024,14.16,4.885,4.885,0,0,0,0,0,117
2/3/2013,5.08,2253.44,3.03024,14.16,4.824,4.824,0,0,0,0,0,117
2/4/2013,5.04,2253.32,3.03024,14.16,4.336,4.336,0,0,0,0,0,117
2/5/2013,,,,,3.754,3.754,0,0,0,0,0,117
2/6/2013,,,,,4.017,4.017,0,0,0,0,0,117
2/7/2013,,,,,4.097,4.097,0,0,0,0,0,117
2/8/2013,,,,,4.084,4.084,0,0,0,0,0,117
2/9/2013,,,,,3.637,3.637,0,0,0,0,0,117
2/10/2013,,,,,4.082,4.082,0,0,0,0.272263438,0.22,117
2/11/2013,,,,,3.708,3.708,0,0,0,0,0.0207,117
2/12/2013,,,,,3.469,3.469,0,0,0,0,0,117
