Date,Simulated Storage
20111006,18.22943096
20111007,18.3742211
20111008,18.51547976
20111009,18.65673843
20111010,18.95338163
20111011,19.53607363
20111012,19.74796163
20111013,20.03401043
20111014,20.20352083
20111015,20.79680723
20111016,21.03694697
20111017,21.20645737
20111018,21.3618419
20111019,21.47131737
20111020,21.57726137
20111021,21.68673684
20111022,21.86331017
20111023,21.97278564
20111024,22.6649531
20111025,22.92275017
20111026,23.10285497
20111027,23.22998777
20111028,23.31474297
20111029,23.29708564
20111030,23.29708564
20111031,23.31474297
20111101,23.31474297
20111102,23.31474297
20111103,23.33593177
20111104,23.33593177
20111105,23.4065611
20111106,23.4277499
20111107,23.4595331
20111108,23.41362404
20111109,23.3324003
20111110,23.3324003
20111111,23.3324003
20111112,23.3324003
20111113,23.3324003
20111114,23.3324003
20111115,23.3324003
20111116,23.3324003
20111117,23.3324003
20111118,23.3324003
20111119,23.3535891
20111120,23.3535891
20111121,23.3535891
20111122,23.34652617
20111123,23.33593177
20111124,23.34652617
20111125,23.36065204
20111126,23.38890377
20111127,23.38890377
20111128,23.38890377
20111129,23.45247017
20111130,23.4065611
20111201,23.45247017
20111202,23.47365897
20111203,23.47365897
20111204,23.47365897
20111205,23.47365897
20111206,23.43128137
20111207,23.43128137
20111208,23.45600164
20111209,23.45600164
20111210,23.45600164
20111211,23.45600164
20111212,23.4171555
20111213,23.44540724
20111214,23.45600164
20111215,23.45600164
20111216,23.45600164
20111217,23.45600164
20111218,23.48425337
20111219,23.51603657
20111220,23.51603657
20111221,23.51603657
20111222,23.34652617
20111223,23.49837924
20111224,23.51603657
20111225,23.51603657
20111226,23.51603657
20111227,23.51603657
20111228,23.51603657
20111229,23.51603657
20111230,23.51603657
20111231,23.51603657
20120101,23.51603657
20120102,23.45247017
20120103,23.45247017
20120104,23.45247017
20120105,23.45247017
20120106,23.45247017
20120107,23.45247017
20120108,23.4489387
20120109,23.44187577
20120110,23.44187577
20120111,23.44187577
20120112,23.44187577
20120113,23.44187577
20120114,23.44187577
20120115,23.44187577
20120116,23.44187577
