Date,Soil Moisture
20120524,56.5
20120525,53
20120526,49.4
20120527,45.4
20120528,40.5
20120529,36.7
20120530,36.8
20120531,33
20120601,31
20120602,36
20120603,36.9
20120604,45.5
20120605,70.8
20120606,98.7
20120607,116
20120608,122
20120609,124
20120610,125
20120611,126
20120612,130
20120613,130
20120614,132
20120615,130
20120616,133
20120617,135
20120618,138
20120619,139
20120620,140
20120621,136
20120622,135
20120623,131
20120624,129
20120625,128
20120626,125
20120627,129
20120628,135
20120629,139
20120630,135
20120701,133
20120702,135
20120703,136
20120704,131
20120705,129
20120706,126
20120707,126
20120708,127
20120709,128
20120710,131
20120711,129
20120712,131
20120713,128
20120714,129
20120715,131
20120716,130
20120717,129
20120718,130
20120719,130
20120720,128
20120721,128
20120722,132
20120723,132
20120724,133
20120725,129
20120726,133
20120727,135
20120728,135
20120729,134
20120730,130
20120731,127
20120801,127
20120802,126
20120803,125
20120804,126
20120805,128
20120806,134
20120807,137
20120808,138
20120809,138
20120810,137
20120811,137
20120812,138
20120813,134
20120814,130
20120815,127
20120816,129
20120817,128
20120818,131
20120819,131
20120820,128
20120821,126
20120822,125
20120823,124
20120824,127
20120825,129
20120826,133
20120827,133
20120828,134
20120829,135
20120830,135
20120831,136
20120901,136
20120902,133
20120903,133
20120904,135
20120905,132
20120906,129
20120907,130
20120908,131
20120909,131
20120910,132
20120911,128
20120912,130
20120913,128
20120914,131
20120915,131
20120916,130
20120917,131
20120918,130
20120919,131
20120920,127
20120921,126
20120922,125
20120923,124
20120924,124
20120925,124
20120926,123
20120927,122
20120928,128
20120929,126
20120930,125
20121001,129
20121002,127
20121003,128
20121004,126
20121005,124
20121006,123
20121007,123
20121008,123
20121009,129
20121010,126
20121011,124
20121012,123
20121013,123
20121014,122
20121015,129
20121016,129
20121017,126
20121018,125
20121019,124
20121020,126
20121021,127
20121022,125
20121023,125
20121024,124
20121025,124
20121026,124
20121027,123
20121028,123
20121029,123
20121030,124
20121031,123
20121101,129
20121102,133
20121103,131
20121104,127
20121105,132
20121106,128
20121107,125
20121108,124
20121109,123
20121110,123
20121111,123
20121112,123
20121113,123
20121114,123
20121115,123
20121116,123
20121117,123
20121118,123
20121119,123
20121120,123
20121121,123
20121122,123
20121123,123
20121124,123
20121125,123
20121126,123
20121127,123
20121128,123
20121129,123
20121130,123
20121201,123
20121202,123
20121203,123
20121204,123
20121205,126
20121206,125
20121207,124
20121208,124
20121209,123
20121210,123
20121211,123
20121212,123
20121213,123
20121214,123
20121215,123
20121216,123
20121217,123
20121218,123
20121219,123
20121220,123
20121221,123
20121222,123
20121223,123
20121224,123
20121225,123
20121226,123
20121227,123
20121228,123
20121229,123
20121230,124
20121231,123
20130101,123
20130102,123
20130103,123
20130104,123
20130105,123
20130106,123
20130107,123
20130108,123
20130109,123
20130110,123
20130111,123
20130112,123
20130113,123
20130114,123
20130115,123
20130116,123
20130117,123
20130118,123
20130119,123
20130120,123
20130121,123
20130122,123
20130123,123
20130124,123
20130125,123
20130126,123
20130127,123
20130128,123
20130129,123
20130130,123
20130131,123
20130201,123
20130202,123
20130203,123
20130204,123
20130205,123
20130206,123
20130207,123
20130208,123
20130209,123
20130210,123
20130211,123
20130212,123
20130213,123
20130214,123
20130215,123
20130216,125
20130217,124
20130218,123
20130219,122
20130220,122
20130221,122
20130222,122
20130223,122
20130224,122
20130225,122
20130226,122
20130227,122
20130228,122
20130301,122
20130302,122
20130303,121
20130304,121
20130305,121
20130306,121
20130307,121
20130308,125
20130309,123
20130310,123
20130311,122
20130312,125
20130313,123
20130314,122
20130315,121
20130316,120
20130317,122
20130318,121
20130319,124
20130320,123
20130321,122
20130322,121
20130323,121
20130324,120
20130325,119
20130326,118
20130327,119
20130328,118
20130329,118
20130330,117
20130331,116
20130401,115
20130402,114
20130403,114
20130404,114
20130405,112
20130406,110
20130407,108
20130408,106
20130409,103
20130410,104
20130411,101
20130412,98.2
20130413,95.8
20130414,92.9
20130415,90.4
20130416,90.9
20130417,87.6
20130418,84
20130419,80.6
20130420,77.3
20130421,72.7
20130422,68.2
20130423,64.4
20130424,70.2
20130425,66.4
20130426,69.4
20130427,77.3
20130428,76.1
20130429,82.8
20130430,81.5
20130501,78.3
20130502,75
20130503,71.5
20130504,70.3
20130505,73.9
20130506,75.8
20130507,77.8
20130508,73.9
20130509,73.3
20130510,73.3
20130511,81.1
20130512,87.7
20130513,88.3
20130514,85.1
20130515,81.9
20130516,79.3
20130517,76.1
20130518,79
20130519,82.7
20130520,77.6
20130521,94.4
20130522,93.1
20130523,89.9
20130524,89.8
20130525,85.5
20130526,84.9
20130527,88.4
20130528,90.2
20130529,94
20130530,92.4
20130531,95.8
20130601,108
20130602,109
20130603,115
20130604,115
20130605,116
20130606,116
20130607,119
20130608,120
20130609,123
20130610,124
20130611,126
20130612,129
20130613,127
20130614,128
20130615,129
20130616,132
20130617,132
20130618,133
20130619,129
20130620,131
20130621,127
20130622,126
20130623,125
20130624,126
20130625,132
20130626,135
20130627,135
20130628,131
20130629,128
20130630,124
20130701,123
20130702,124
20130703,131
20130704,136
20130705,134
20130706,130
20130707,128
20130708,126
20130709,124
20130710,125
20130711,126
20130712,127
20130713,129
20130714,128
20130715,128
20130716,128
20130717,129
20130718,129
20130719,132
20130720,136
20130721,136
20130722,134
20130723,133
20130724,134
20130725,135
20130726,135
20130727,134
20130728,134
20130729,135
20130730,130
20130731,132
20130801,134
20130802,137
20130803,136
20130804,134
20130805,132
20130806,131
20130807,129
20130808,128
20130809,126
20130810,125
20130811,125
20130812,126
20130813,126
20130814,125
20130815,124
20130816,125
20130817,124
20130818,124
20130819,126
20130820,125
20130821,126
20130822,126
20130823,126
20130824,125
20130825,125
20130826,125
20130827,124
20130828,124
20130829,123
20130830,125
20130831,124
20130901,123
20130902,127
20130903,128
20130904,130
20130905,130
20130906,131
20130907,130
20130908,132
20130909,134
20130910,130
20130911,130
20130912,130
20130913,133
20130914,130
20130915,128
20130916,128
20130917,127
20130918,129
20130919,132
20130920,131
20130921,130
20130922,128
20130923,125
20130924,125
20130925,124
20130926,124
20130927,123
20130928,123
20130929,123
20130930,123
20131001,125
20131002,124
20131003,124
20131004,123
20131005,123
20131006,124
20131007,124
20131008,124
20131009,126
20131010,127
20131011,125
20131012,124
20131013,124
20131014,123
20131015,123
20131016,124
20131017,127
20131018,126
20131019,128
20131020,133
20131021,129
20131022,126
20131023,127
20131024,129
20131025,127
20131026,126
20131027,125
20131028,124
20131029,123
20131030,123
20131031,123
20131101,123
20131102,123
20131103,123
20131104,124
20131105,124
20131106,123
20131107,123
20131108,123
20131109,123
20131110,123
20131111,123
20131112,123
20131113,125
20131114,124
20131115,124
20131116,124
20131117,123
20131118,123
20131119,124
20131120,123
20131121,123
20131122,123
20131123,123
20131124,128
20131125,126
20131126,125
20131127,124
20131128,123
20131129,123
20131130,124
20131201,124
20131202,124
20131203,123
20131204,123
20131205,123
20131206,123
20131207,123
20131208,123
20131209,123
20131210,123
20131211,123
20131212,123
20131213,123
20131214,123
20131215,123
20131216,123
20131217,123
20131218,123
20131219,123
20131220,123
20131221,123
20131222,123
20131223,123
20131224,123
20131225,123
20131226,123
20131227,123
20131228,123
20131229,123
20131230,123
20131231,123
20140101,123
20140102,123
20140103,123
20140104,123
20140105,123
20140106,123
20140107,123
20140108,123
20140109,123
20140110,123
20140111,123
20140112,123
20140113,123
20140114,123
20140115,123
20140116,123
20140117,123
20140118,123
20140119,123
20140120,123
20140121,123
20140122,123
20140123,123
20140124,123
20140125,123
20140126,123
20140127,123
20140128,123
20140129,123
20140130,123
20140131,123
20140201,123
20140202,123
20140203,123
20140204,123
20140205,123
20140206,123
20140207,123
20140208,123
20140209,123
20140210,123
20140211,123
20140212,123
20140213,123
20140214,123
20140215,123
20140216,123
20140217,123
20140218,123
20140219,123
20140220,123
20140221,123
20140222,123
20140223,123
20140224,123
20140225,123
20140226,123
20140227,123
20140228,123
20140301,123
20140302,123
20140303,122
20140304,123
20140305,123
20140306,123
20140307,123
20140308,124
20140309,123
20140310,123
20140311,122
20140312,122
20140313,121
20140314,121
20140315,120
20140316,120
20140317,119
20140318,119
20140319,118
20140320,118
20140321,117
20140322,116
20140323,116
20140324,116
20140325,115
20140326,113
20140327,112
20140328,111
20140329,109
20140330,108
20140331,107
20140401,104
20140402,111
20140403,111
20140404,108
20140405,106
20140406,104
20140407,101
20140408,98.8
20140409,103
20140410,105
20140411,108
20140412,109
20140413,109
20140414,109
20140415,117
20140416,119
20140417,118
20140418,121
20140419,126
20140420,123
20140421,120
20140422,117
20140423,113
20140424,109
20140425,106
20140426,106
20140427,109
20140428,111
20140429,111
20140430,112
20140501,114
20140502,121
20140503,128
20140504,131
20140505,128
20140506,125
20140507,123
20140508,124
20140509,132
20140510,126
20140511,125
20140512,125
20140513,120
20140514,116
20140515,113
20140516,108
20140517,104
20140518,112
20140519,111
20140520,111
20140521,113
20140522,113
20140523,115
20140524,115
20140525,112
20140526,108
20140527,104
20140528,107
20140529,117
20140530,121
20140531,124
20140601,128
20140602,124
20140603,130
20140604,126
20140605,124
20140606,126
20140607,126
20140608,124
20140609,125
20140610,125
20140611,125
20140612,124
20140613,123
20140614,121
20140615,121
20140616,120
20140617,122
20140618,124
20140619,127
20140620,132
20140621,133
20140622,132
20140623,128
20140624,125
20140625,124
20140626,122
20140627,120
20140628,119
20140629,118
20140630,118
20140701,125
20140702,129
20140703,125
20140704,123
20140705,125
20140706,128
20140707,126
20140708,125
20140709,124
20140710,126
20140711,129
20140712,129
20140713,133
20140714,136
20140715,136
20140716,135
20140717,132
20140718,132
20140719,135
20140720,135
20140721,134
20140722,134
20140723,133
20140724,134
20140725,133
20140726,133
20140727,131
20140728,130
20140729,128
20140730,129
20140731,131
20140801,133
20140802,134
20140803,133
20140804,132
20140805,134
20140806,135
20140807,137
20140808,134
20140809,132
20140810,130
20140811,128
20140812,131
20140813,128
20140814,125
20140815,126
20140816,125
20140817,124
20140818,125
20140819,132
20140820,128
20140821,129
20140822,129
20140823,132
20140824,130
20140825,128
20140826,127
20140827,125
