Date,Simulated Storage
20111013,3.362662565
20111014,3.217872432
20111015,4.866361075
20111016,5.657409609
20111017,5.699787209
20111018,5.593843209
20111019,5.445521609
20111020,5.286605609
20111021,5.120626675
20111022,4.965242141
20111023,4.845172275
20111024,4.746291208
20111025,4.696850674
20111026,4.940521875
20111027,4.866361075
20111028,4.944053341
20111029,4.855766675
20111030,4.739228274
20111031,4.597969607
20111101,4.460242407
20111102,4.354298407
20111103,4.27660614
20111104,5.042934408
20111105,5.632689342
20111106,5.685661343
20111107,5.812794143
20111108,5.735101876
20111109,5.632689342
20111110,5.516150942
20111111,5.396081075
20111112,5.272479742
20111113,5.152409875
20111114,5.032340008
20111115,4.905207208
20111116,4.778074408
20111117,4.654473074
20111118,4.523808807
20111119,4.39314454
20111120,4.258948807
20111121,4.13887894
20111122,4.004683206
20111123,3.866956006
20111124,3.722165873
20111125,3.577375739
20111126,3.428700992
20111127,3.276494779
20111128,3.121463392
20111129,3.268725552
20111130,3.165253578
20111201,3.018344565
20111202,2.856250245
20111203,2.687446138
20111204,2.514051124
20111205,2.337124644
20111206,2.220233097
20111207,2.228002324
20111208,2.14360027
20111209,1.967380083
20111210,1.76855851
20111211,1.569030643
20111212,1.362439842
20111213,1.152317575
20111214,0.938310695
20111215,0.722891228
20111216,0.503940294
20111217,0.277749854
20111218,0.093583867
20111219,0
20111220,0
20111221,0
20111222,0
20111223,0
20111224,0
20111225,0
20111226,0
20111227,0
20111228,0
20111229,0
20111230,0.114313576
20111231,0.218986248
20120101,0
20120102,0.146379294
20120103,0.289333065
20120104,0.428720054
20120105,0.565034668
20120106,0.697464668
20120107,0.827069495
20120108,0.953496002
20120109,1.076744188
20120110,1.196814055
20120111,1.313705602
20120112,1.427418829
20120113,1.538660029
20120114,1.646722909
20120115,1.751960616
20120116,1.854726296
20120117,1.954666803
20120118,2.051782137
20120119,2.146425443
20120120,2.238596724
20120121,2.328649124
20120122,2.415876351
20120123,2.499925257
20120124,2.580795844
20120125,2.634120991
20120126,2.681442644
20120127,2.722054511
20120128,2.759488058
20120129,2.792330698
20120130,2.817404111
20120131,2.840711791
20120201,2.859075418
20120202,2.873907578
20120203,2.886620858
20120204,2.898980991
20120205,2.910634831
20120206,2.923348111
20120207,2.936414538
20120208,2.947008938
20120209,2.957956485
20120210,2.968550885
20120211,2.976320111
20120212,2.981617312
20120213,2.987973952
20120214,2.994683738
20120215,3.000334085
20120216,3.005631285
20120217,3.011281632
20120218,3.015519392
20120219,3.019050858
20120220,3.022582325
20120221,3.026820085
20120222,3.026113792
20120223,3.026113792
20120224,3.026113792
20120225,3.026466938
20120226,3.025760645
20120227,3.024701205
20120228,3.024348058
20120229,3.022582325
20120301,3.021169738
20120302,3.019757152
20120303,3.018697712
20120304,3.002099818
20120305,2.832589418
20120306,2.651072031
20120307,2.436005711
20120308,2.12664923
20120309,2.13088699
20120310,2.135831043
20120311,2.14042195
20120312,2.144306563
20120313,2.14889747
20120314,2.15419467
20120315,2.15843243
20120316,1.759376696
20120317,1.358202082
20120318,0.950317682
20120319,0.561150054
20120320,0.178021235
20120321,0
20120322,0
20120323,0
20120324,0
20120325,0
20120326,0
20120327,0
20120328,0
20120329,0
20120330,0
20120331,0
20120401,0
20120402,0
20120403,0
20120404,0
20120405,0
20120406,0
20120407,0
20120408,0
20120409,0
20120410,0
20120411,0
20120412,0
20120413,0
20120414,0
20120415,0
20120416,0
20120417,0
20120418,0
20120419,0
20120420,0
20120421,0
20120422,0
20120423,0
20120424,0
20120425,0
20120426,0
20120427,0
20120428,0
20120429,0
20120430,0
20120501,0
20120502,0
20120503,0
20120504,0
20120505,0
20120506,0
20120507,0
20120508,0
20120509,0
20120510,0
20120511,0
20120512,0
20120513,0
20120514,0
20120515,0
20120516,0
20120517,0
20120518,0
20120519,0
20120520,0
20120521,0
20120522,0
20120523,0
20120524,0
20120525,0
20120526,0
20120527,0
20120528,0
20120529,0
20120530,0
20120531,0
20120601,0
20120602,0
20120603,0
20120604,0
20120605,0
20120606,0
20120607,0.076244365
20120608,0
20120609,0
20120610,0
20120611,0
20120612,0
20120613,0
20120614,0.146485238
20120615,0.097750997
20120616,0.143518806
20120617,0.376101201
20120618,2.626704911
20120619,4.509682941
20120620,5.89048641
20120621,5.946989876
20120622,5.816325609
20120623,5.607969076
20120624,5.374892275
20120625,5.141815475
20120626,4.912270141
20120627,4.714508008
20120628,6.067059743
20120629,8.242443213
20120630,8.623841614
20120701,8.623841614
20120702,8.524960547
20120703,8.634436014
20120704,8.556743747
20120705,8.450799747
20120706,8.337792814
20120707,8.231848813
20120708,8.147093613
20120709,8.062338413
20120710,7.984646146
20120711,7.942268546
20120712,7.924611213
20120713,7.921079746
20120714,7.91754828
20120715,7.91754828
20120716,7.91754828
20120717,7.935205613
20120718,7.998772013
20120719,8.136499213
20120720,8.274226413
20120721,8.41548508
20120722,8.574401081
20120723,8.680345081
20120724,8.796883481
20120725,8.920484814
20120726,9.068806415
20120727,9.280694415
20120728,9.506708282
20120729,9.739785082
20120730,9.948141616
20120731,10.14943522
20120801,10.28009948
20120802,10.43548402
20120803,10.57321122
20120804,10.70034402
20120805,11.14884028
20120806,11.55849042
20120807,12.30716135
20120808,12.72740589
20120809,13.15824482
20120810,13.50786002
20120811,13.85394376
20120812,14.30244002
20120813,14.58848882
20120814,14.84628589
20120815,15.09348856
20120816,15.34775416
20120817,15.60201976
20120818,15.89866296
20120819,16.17058589
20120820,16.43191443
20120821,16.68618003
20120822,16.94397709
20120823,17.20177416
20120824,17.47016563
20120825,17.9080675
20120826,18.8615635
20120827,19.5607939
20120828,20.04107337
20120829,20.42600323
