Date,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
31-12-19,52.46546555,56.74010849,57.97804642,53.10377502,44.70861053,37.61502075,29.9126339,22.7937603,18.5098362,16.11615944,14.91689301,14.88585472,14.08440495,13.25039196,12.37130451,12.53888035,12.76171398,13.39010334,15.03681183,16.87334633,17.31911087,17.00865173,15.20437908,13.03788376,11.57942581,11.34449482,10.13558865,8.666550636,6.514420033,5.332332611
01-01-20,49.64725494,55.50367737,56.8584137,50.11531067,40.59641266,32.70299911,25.15214157,18.49600792,13.73136425,11.7773838,11.03430367,11.1331625,11.61019611,12.09715843,12.04937172,12.27511692,12.13157845,12.42950916,14.1930418,16.2198143,16.70960426,16.36503601,14.62928104,12.53018951,11.15740299,11.06667328,10.0112772,8.688775063,6.458607674,4.963322639
02-01-20,25.96733475,29.65596581,30.34535217,26.02320671,20.2583313,16.14682007,13.28318977,10.42358398,5.792896748,3.417236328,5.822696209,9.17087841,10.82686138,10.50769615,8.255036354,6.82965374,7.609618187,9.788614273,11.36982632,12.36452198,12.10466099,11.63353634,10.1064539,8.321792603,7.316583157,7.651422024,6.954077721,5.912342072,4.167524338,3.146634579
03-01-20,23.63749123,24.93728638,25.49198914,24.10781479,20.78625679,17.9523735,14.6866293,11.62371349,9.941000938,8.716517448,8.271828651,7.966961384,7.623996735,6.999894619,6.318501472,6.128156662,6.776382923,8.341029167,9.51524353,10.22700977,10.2011528,9.817707062,8.79249382,7.601340771,6.714294434,6.526206017,5.992630482,5.553180695,5.155298233,4.93328619
04-01-20,32.56736374,35.97563553,36.77894211,32.82833481,27.82190895,24.56216049,21.92184067,19.216465,15.80572701,13.08384323,12.78160572,14.09071159,15.16940212,14.65694618,12.61278248,11.20603561,11.86403942,13.98197174,15.81685066,16.34884644,15.95752907,15.04680729,13.94572163,12.7443018,11.23432922,9.964697838,9.87904644,11.36145878,11.89892006,10.58695221
05-01-20,19.98173141,20.92351341,21.33023262,20.21190453,18.55309677,17.16426659,15.2845993,13.74126911,13.14636803,12.24456787,11.59986115,10.69930744,10.35517693,9.85926342,9.605314255,9.516747475,10.10967064,11.21399117,11.84108067,11.8468523,11.83463573,11.44196415,10.72051334,9.571160316,8.487639427,7.403369427,5.694654942,3.607612848,2.294988155,3.320623875
06-01-20,25.60398674,26.96881485,27.53843689,26.02341843,23.25615501,20.95255852,17.99882317,15.52952766,14.51460171,13.46685696,12.6357832,11.73509121,11.21549129,10.65589809,10.44438171,10.48124504,11.21804714,12.7815361,14.14913368,14.75760555,14.87853336,14.3562746,13.24267006,11.79513836,10.44172859,9.349504471,8.237527847,7.635024071,7.142827034,6.7765522
07-01-20,15.61293221,15.5620079,15.80836201,15.84336567,15.56860256,15.16959286,14.00213528,13.03310299,12.82265568,12.06807709,11.39313602,10.59903049,10.17824364,9.654747963,9.423748016,9.318042755,10.03861332,11.43775749,12.19095802,12.21848488,12.19827652,11.80679512,11.02833557,9.806155205,8.680197716,7.574000359,5.753281116,3.430058718,1.890424967,2.985997677
08-01-20,13.8429966,13.78946114,13.99646282,13.99650383,13.93001842,13.74449539,12.88137054,12.17856216,12.1131649,11.43817425,10.83277321,10.04913044,9.660242081,9.169948578,8.998960495,9.011933327,9.882237434,11.48818588,12.26300144,12.35162258,12.25528526,11.8376236,10.9014492,9.584737778,8.474464417,7.574262142,5.816468716,3.630843163,2.144739628,3.230256557
09-01-20,15.05855274,15.16820717,15.61514378,15.74391174,15.3779726,14.58956718,13.18345642,12.60279655,13.70809364,13.87047672,13.58740902,13.13361835,12.59943581,11.80980873,10.81214333,10.00975609,10.62117386,11.68523884,11.14277267,10.06632423,10.60612583,12.81439781,14.15074348,13.89397812,12.4224472,9.768693924,6.910794735,4.014155388,3.012556314,5.110861301
