7,Bc8-2b-7
8,Bc9-2b-8
9,Bd30-2-3c-9
18,Be48-3c-18
20,Be49-3c-20
21,Be50-2-3c-21
81,I-Re-81
82,I-Re-82
83,I-Re-3a-83
85,I-Re-b-85
87,I-Re-bc-87
88,I-V-88
131,Lf28-2-3b-131
132,Lf30-132
133,Lf30-2a-133
127,Lc13-1a-127
128,Lf18-1a-128
130,Lf18-2a-130
139,Lg2-1-2a-139
142,Lg33-1-2a-142
143,Lg34-1-2a-143
135,Lf32-1-2a-135
136,Lf41-1-2a-136
138,Lf65-1-2a-138
144,Lg35-1a-144
145,Lg36-1a-145
146,Lg4-1a-146
11,Bd31-2c-11
16,Be45-2a-16
17,Be47-2a-17
101,Jc21-3a-101
102,Jc21-3a-102
103,Jc23-2a-103
104,Jc25-1ab-104
106,Jc26-2-3a-106
108,Jc27-1a-108
109,Jc28-2-3a-109
110,Jc29-2-3a-110
111,Jc30-1a-111
112,Jc30-2-3a-112
114,Jc32-2a-114
115,Jc32-2a-115
116,Jc4-2a-116
117,Jc5-2a-117
118,Jc6-2a-118
119,Jc8-2a-119
120,Je13-2a-120
121,Je23-a-121
122,Je29-1a-122
123,Je31-2-3a-123
125,Je48-2a-125
22,Be51-2a-22
24,Be8-3c-24
26,Be9-3c-26
90,I-Y-90
91,I-Y-ab-91
92,I-Y-ab-92
93,I-Y-b-93
95,I-Yk-2-3b-95
96,I-Zo-96
97,I-a-97
99,I-c-99
100,Jc2-2a-100
27,Bh11-1b-27
31,Bh12-3c-31
32,Bh13-2-3c-32
34,Bh4-2c-34
35,Bk24-2bc-35
36,D-SS-36
37,Fo2-2ab-37
38,Fo21-2ab-38
39,Fo28-3ab-39
41,Fo32-1a-41
42,Fo48-2ab-42
44,Fo8-2ab-44
45,Fp7-2ab-45
47,Fp8-2ab-47
48,Fp9-3a-48
50,Fr2-2-3b-50
51,Fr8-2-3b-51
52,Gd6-2a-52
53,Gd5-2a-53
55,Ge22-a-55
56,Ge23-2-3a-56
57,Gh7-2a-57
58,Gm15-2a-58
60,I-60
61,I-61
62,I-62
63,I-63
64,I-Bc-Tv-2-64
65,I-Be-bc-65
66,I-Bf-66
