time,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15
11-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-03-1951,0,0,0.744715154,0,0,0,0,0,0,0,0,0,0,0,0
14-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413446841
15-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214405855
16-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-03-1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-03-1951,0,0,0.02452874,0,0,0,0,0.112309568,0,0,0,0,0,0,0
22-03-1951,0,0,0,0,0,0,0,0,0,1.09882772,0,0,0,0,0.636276388
23-03-1951,0,0,0,0,0,0,0,0,0.2674053,0.39675349,4.901760101,3.240700006,1.363089999,4.676707119,5.926056737
24-03-1951,0.243568487,0,0,0,0,0,0,0,0,0,0,6.012055397,0,2.954857486,2.540342924
25-03-1951,1.166172601,6.621702671,7.298102297,0,0,0,0,1.707960069,0.701971747,0,0,0,0,0,2.924574316
26-03-1951,0,2.934113026,0.854023159,0,0,0,2.006261826,0,0,26.07356787,0,0,0,0.357726582,6.127741589
27-03-1951,0,5.877563477,0.750244059,1.164201474,2.646149715,0,0.130294365,8.204213083,0.376423884,1.2962019,0,0,0.831670245,0,3.571505229
28-03-1951,1.046639293,0.282839745,6.655028606,4.19261466,0,0,0.02448305,5.237294137,1.190002505,0,0,0,1.162059225,0,0.037027083
29-03-1951,5.654013962,1.993784308,2.862091724,0,1.353518565,0,0.562780807,11.95919514,0.024037077,0.061418425,0,0,0,0,1.954020858
30-03-1951,1.131728888,0.201034293,0.038555708,1.235902406,1.859738211,0,4.879757563,1.05731678,7.967071624,0.582254842,4.379441261,0,0,0.058616587,0.07968543
31-03-1951,0,0,0,6.263077875,8.759423574,0,0.172588805,0,36.84865873,29.82453904,29.17145109,46.22012234,2.848729362,19.58017156,15.77128357
01-04-1951,0,0,0,2.551915646,2.315869451,0,7.006085714,1.071212173,3.603579235,7.442694969,0,8.654932022,4.527648235,4.35180873,6.225518639
02-04-1951,0,1.144928813,2.341618642,1.007232358,0.924784924,13.78946877,6.50526764,0.277369738,2.761063118,6.106469721,14.52947986,1.128838778,7.28596961,7.497185528,8.360400484
03-04-1951,0,0,0,0.869930605,0,0,0,0,0.261964505,0,0,0,0.017167669,0.412045853,0
04-04-1951,0.226345763,0,0.6495098,3.191103928,0,0,0,0,0,0.266146481,0,0,0,0,0.062643463
05-04-1951,0.995921373,0,3.366509658,1.944118126,0,20.66849327,0.069205448,1.840542376,0.047785183,0,0,0,0,0.131129201,0.242243707
06-04-1951,1.184542775,0.547742963,0.654494159,1.203944291,0,0,0.543254999,1.026462793,0,0,0,0,0,0,0
07-04-1951,0,0,0,0,0,0,0.067456777,1.618312955,0,0,0,0,0,0,0
08-04-1951,0,0,0,0.201388064,0.223967304,0,5.01249061,3.122732878,0.006897821,0,0,0,0.075070987,0,0
09-04-1951,0,0,0.423156043,1.564459843,0,0,0,1.415432751,0.350985873,0,0,0,0.105115995,0,1.974457502
10-04-1951,0,0,0,1.060829644,0.665664554,0.236517817,0.05656452,1.335914016,1.303677443,2.113351464,2.307567686,0,0.021279966,0.038467217,5.382016589
11-04-1951,5.107792974,0,3.40830628,3.294235406,5.475933254,6.133140087,6.936473548,9.637099624,6.633054053,14.05292118,5.597807765,10.34353876,6.741011341,14.88878053,11.59167551
12-04-1951,0.927646562,8.646887779,5.534118205,5.298353573,1.773576021,0,0.983935351,9.934967995,7.734664312,5.897875413,6.581337452,5.174278021,3.903263266,6.456502157,6.983318313
13-04-1951,15.83684599,31.27409935,19.26043471,13.70357078,14.68452263,44.07406616,33.72492727,21.93725634,28.93769016,32.74235535,11.79292512,43.91250038,14.30379252,14.34333326,9.954236686
14-04-1951,22.52017522,29.31362915,17.14794352,1.63015103,6.841056069,0.664219141,7.952206165,17.75041604,4.843558881,24.27528584,21.10448837,8.64022994,7.330468266,22.07082838,25.2734597
15-04-1951,0,0,1.074536294,0,37.63078435,0,1.906097591,0.594583474,3.279175377,8.279523373,5.340622663,0.275168002,0.190058506,0.210804005,10.64494299
16-04-1951,0,1.31335175,0.205658346,0,0.125501543,0,0,1.309333444,0.421558443,2.517197117,5.934840202,1.900321722,0.810211122,2.489493169,4.818313402
17-04-1951,0.078565106,0,0,0.307051044,0,0,0,1.740678072,0.056675788,1.48664923,0,0.054990489,0.298680221,0.779034726,2.621067526
18-04-1951,0,0,0.172553137,0.341924533,0.044882153,0,0.020754319,2.988417685,0.102467369,0.136575967,0,0,0,0,0.404801965
19-04-1951,0.310624391,0,0.818693042,0.821674891,0.486683095,0.140432447,0.299934266,0,0.11516375,0.603277918,0,0.23729229,0.109444459,0.034459966,1.415742248
20-04-1951,4.44580663,0,0.723015793,0,0,0,2.021584841,2.441228628,0.079457645,8.68024838,1.608908534,0.217407063,2.133013169,0.303509265,1.006493876
21-04-1951,0,0,0,0,0,0,0,0,0.192663576,0.078359537,0,0.517890692,11.78043609,1.672813289,4.50466428
22-04-1951,0,0,0,0,3.266340892,0,0.160832115,0,0.198172688,0,0,0,0,0,0
23-04-1951,0.168274045,3.309120655,3.01112934,1.300130089,0,0,0,0,1.700827185,0,0,0,0.806658044,0.203761595,1.103665352
24-04-1951,4.093639016,5.094410419,12.47011988,11.46480783,4.27850465,6.990977764,4.626632214,0,2.942045923,1.519213408,0.120592736,5.834119752,0,3.212096434,4.188540842
25-04-1951,1.543897152,3.118425608,2.205018207,1.041836175,0,0,7.581309477,9.648746967,0.84221404,3.228796739,7.183621347,4.906322956,0.83150963,3.418018452,5.8287722
26-04-1951,1.509235978,4.605396271,1.779326808,0.429209694,13.76824633,0,5.89642783,10.48727894,6.046119708,0.228225634,2.45687151,8.960345924,0.149067114,0.721779811,0.775846988
27-04-1951,4.497203447,6.426134586,3.249416341,1.934890245,1.44083341,1.19190228,0.197845625,3.532979846,1.473233298,0.841407359,0,0,0,0.216382648,0.1972596
28-04-1951,10.06218648,0.284826308,7.481770116,10.58925491,0.224410772,3.590749025,0.652594645,8.478437424,7.864449895,1.802942928,3.253959477,8.991338015,0,6.486162486,12.35653136
29-04-1951,2.878210157,1.197870374,0.776737543,0,1.695189476,0,0.710268825,0.052082527,1.329683752,0,0,6.663461208,0,0.189339944,0
30-04-1951,4.11781837,1.826427102,1.271615007,0.536848673,3.15953958,2.075875044,0.526118532,0,0.587036967,0,0,0,1.763619105,0,0
01-05-1951,1.489283562,3.510999441,6.196992151,14.12093002,0.762373452,7.783299923,8.261456529,15.5990535,5.334129474,3.470945865,0.93073982,0.100858316,1.518702626,3.028487598,1.548490087
02-05-1951,0,0,1.484553784,2.043765092,8.878299236,0,3.889352813,2.301720165,4.750090092,3.865792394,0.683760554,0,1.718121412,12.48994083,11.11496898
03-05-1951,0,0,0,0,2.852880001,0,0.140473618,0,2.146810628,3.870037258,9.980301142,5.216390133,4.404925327,7.481806747,9.390984045
04-05-1951,0,1.89122653,0.296148002,0,0,0,0,0,1.579398047,0.765636787,0,0,2.301038802,2.492670566,3.39883815
05-05-1951,0,0,0,0.143749267,0,0,0.022968295,0.874458656,1.141121992,0.329436868,0,0.094118342,2.091182888,3.576587121,0.852533536
06-05-1951,4.721132159,0,0.834716459,1.565466634,0,0,0,1.798454896,0.073103555,3.00731948,0,4.077751637,2.200905497,1.505718726,0.666296646
07-05-1951,0.655581124,0.309794068,0.102809295,0,0,0,0,1.783570349,0,0,0,0,0,0.097676592,0
08-05-1951,1.178491205,0,0.248837002,0,0,0,0,0.5288288,0,0,0,0,0,0,0.041436421
09-05-1951,7.177447423,0,1.038027981,0.381189931,2.449930787,0,1.917001148,0,0.318418829,3.492236316,0.239545971,0,0.041968818,0,0.129800191
10-05-1951,12.52524066,1.31335175,4.113465543,2.504656369,7.598441442,17.72834969,6.969303012,1.062289357,1.545146973,7.103904188,0.434133857,4.55959177,0.027191065,0.077792324,0.887123148
11-05-1951,10.24120706,4.243060112,11.71823494,7.537633792,7.953406413,2.139747143,13.7467693,12.85897446,1.810796034,1.940144554,2.450880051,0.412139237,0.165139735,0.588388445,2.762736787
12-05-1951,2.673665464,0,3.786922341,3.95968127,0,9.657331467,0.342990128,0.094733045,1.354300428,0.688455582,0,0,0,0.197297607,1.027494553
13-05-1951,12.39205945,14.10503292,10.64958857,17.94058453,6.896186034,5.510556221,12.60129881,11.55956471,7.406945919,1.553076774,6.831713319,18.47786957,0,3.885716626,1.990484377
14-05-1951,0,1.631582022,0.562763577,0,0,0,0.211547876,0.666392043,1.684311096,6.495438993,0,0,0,0,0.038240845
15-05-1951,0,2.935200691,5.221322914,2.775779673,27.81649748,0.201694056,12.45612772,2.926431328,5.692252104,12.20236284,6.127752297,11.02249765,0.072654565,4.770303879,1.392878065
16-05-1951,11.35218608,1.55405581,1.112029004,3.836140219,21.62275624,0.864768207,2.196061482,0.486325279,7.114238898,1.508636296,0,0,0,0,0
17-05-1951,0.286355466,11.20385075,3.71507747,0.303262153,10.59557056,0,2.178250631,4.828025937,0.858955038,1.470357973,0.436315864,0,0,0,3.419733953
18-05-1951,19.27764714,9.514281273,16.07777623,19.14022831,6.118763606,12.599226,15.74226809,9.760585189,6.888106189,12.7854867,7.948414847,0.889572978,0,6.307697654,3.60505897
19-05-1951,0,2.622923136,1.399279147,6.889755001,10.89747492,1.574223995,17.47403288,13.16151738,5.509591158,13.30347681,6.463484287,6.443004966,0,0.604697527,0.041436421
20-05-1951,15.91124213,0,11.12393312,8.071260909,4.420354287,18.66501999,7.018309395,1.51212433,3.213371628,6.684044491,0.741564453,0.310605288,0.080236981,1.750328993,0.973002434
21-05-1951,3.777470946,0.991341054,2.538246105,4.281655628,1.211715281,25.5128479,1.755196442,0,3.32842603,1.110761046,4.700868607,16.17186785,2.082214763,3.914484901,10.0584317
22-05-1951,11.21894979,0.945613265,15.80954804,6.460458567,4.565764586,21.72882843,7.515422901,9.759889722,7.874374012,6.592316687,2.453133345,9.391145423,8.323919932,3.772913758,7.504284407
23-05-1951,4.474849418,0.784811676,0.954850749,0.95732138,0,0,0,0.502437532,0.386820045,1.302381009,0,0.349693894,3.746004383,1.560224795,6.293014169
24-05-1951,4.368543282,6.224197388,2.674611705,5.129975027,11.43889411,6.79732132,11.88931328,22.80393934,6.152418245,8.525534391,8.542456985,1.002979875,8.872112175,10.05812155,15.37096766
25-05-1951,18.41919303,6.735668182,10.90410334,2.930345232,0,0.369133115,9.129157757,5.237232149,2.14302017,16.31708986,1.278283,1.163915582,5.936359661,0.338586173,3.839367206
26-05-1951,13.23920178,4.87438345,3.415764838,0.11618429,0.435689588,0,1.054841687,0.568201303,1.213473679,0.3070921,0,1.933913946,5.789168507,1.323552168,3.150078168
27-05-1951,0.47008989,0,2.35324496,10.84185038,4.732828895,3.879054308,3.613057892,0.165937334,5.822721199,5.915568452,4.933339,0.807902187,3.580006897,2.878041622,1.306740642
