time,ET (mm/day)
2013-01-01,1.804082071263841
2013-01-02,1.7889641027197876
2013-01-03,1.7246394227819082
2013-01-04,1.5890064273744282
2013-01-05,1.4431410243377547
2013-01-06,1.3649607657653464
2013-01-07,1.3336299469954065
2013-01-08,1.2285327079584403
2013-01-09,1.2507068599253872
2013-01-10,1.3979298842032757
2013-01-11,1.33992916972069
2013-01-12,1.2370249494249712
2013-01-13,1.2514389124972696
2013-01-14,1.1689156186363443
2013-01-15,1.1642981538121067
2013-01-16,1.1068016543543786
2013-01-17,1.0460474744932013
2013-01-18,0.9780257685873527
2013-01-19,0.9534705913905779
2013-01-20,0.9353953069962446
2013-01-21,0.8973896430224867
2013-01-22,0.9308414559270458
2013-01-23,0.8838031080242994
2013-01-24,0.8466061575729782
2013-01-25,0.8270110222356845
2013-01-26,0.8175914230634513
2013-01-27,0.7927284713814127
2013-01-28,0.7501595196211696
2013-01-29,0.7112395121039364
2013-01-30,0.7214887876302504
2013-01-31,0.7332124267552378
2013-02-01,0.7403560292586211
2013-02-02,0.7426908402337928
2013-02-03,0.7163783858478389
2013-02-04,0.6714987913043912
2013-02-05,0.6298666626179529
2013-02-06,0.5921380249742886
2013-02-07,0.7924945056842657
2013-02-08,0.832916156370546
2013-02-09,0.9022404038238896
2013-02-10,0.9795167525435837
2013-02-11,0.9411638384056603
2013-02-12,0.8932199187891989
2013-02-13,0.8291905393074207
2013-02-14,0.6862429185282412
2013-02-15,0.7135008372933884
2013-02-16,1.0369810271388193
2013-02-17,1.7921559722567575
2013-02-18,1.9750077969109314
2013-02-19,2.6528604622175083
2013-02-20,3.4303708277449996
2013-02-21,3.2182301856364326
2013-02-22,2.8465390845598595
2013-02-23,2.5642222854321526
2013-02-24,2.3400823049058963
2013-02-25,2.0987841008606285
2013-02-26,1.9112525674586507
2013-02-27,1.6926682215701216
2013-02-28,1.5542030233285824
2013-03-01,1.4402151307145603
2013-03-02,1.292329361345565
2013-03-03,1.1812684089457663
2013-03-04,1.0661216147663501
2013-03-05,0.7262185360779346
2013-03-06,0.8417307973533728
2013-03-07,1.3843570034294763
2013-03-08,1.9425245515646636
2013-03-09,1.8504535254485213
2013-03-10,2.6324699840549792
2013-03-11,2.462682895405267
2013-03-12,2.5365864241416336
2013-03-13,2.693130555687658
2013-03-14,2.2845717040338673
2013-03-15,2.102923526503722
2013-03-16,1.7805012928618746
2013-03-17,2.2467106405061976
2013-03-18,2.118635223071728
2013-03-19,2.0882942058607097
2013-03-20,1.9526969479304872
2013-03-21,1.8168820840353541
2013-03-22,1.827729872162159
2013-03-23,1.4771158991360338
2013-03-24,1.4328506671907977
2013-03-25,1.2354876999821343
2013-03-26,1.1571828171089844
2013-03-27,1.4631494081960659
2013-03-28,1.74177378935211
2013-03-29,1.693130476332563
2013-03-30,1.7688111810818652
2013-03-31,1.5396261847594916
2013-04-01,1.5078677064172217
2013-04-02,1.5354993535243942
2013-04-03,1.5930599423926113
2013-04-04,1.6220755870026955
2013-04-05,1.664328122737917
2013-04-06,1.6515988274061104
2013-04-07,1.8078137643461023
2013-04-08,1.9128348999217164
2013-04-09,1.7372116408278515
2013-04-10,1.802052932473451
2013-04-11,1.6928562136577001
2013-04-12,1.541983865195118
2013-04-13,1.2799977989883156
2013-04-14,1.166594448930346
2013-04-15,1.115605932079816
2013-04-16,1.464586493293951
2013-04-17,1.561237139264058
2013-04-18,1.3464650006045222
2013-04-19,1.397807529247127
2013-04-20,1.3554164370994646
