Date,Evapotranspiration,,
20111221,0,,
20111222,0,,
20111223,0,,
20111224,0,,
20111225,0,,
20111226,0,,
20111227,0,,
20111228,0,,
20111229,0,,
20111230,0,,
20111231,1261,,
20120101,2193,,
20120102,0,,
20120103,1688,,
20120104,3034,,
20120105,4837,,
20120106,5975,,
20120107,6484,,
20120108,7500,,
20120109,9330,,
20120110,10670,,
20120111,12730,,
20120112,13670,,
20120113,14050,,
20120114,13450,,
20120115,16370,,
20120116,17520,,
20120117,16100,,
20120118,20170,,
20120119,19940,,
20120120,19890,,
20120121,18270,,
20120122,21530,,
20120123,20150,,
20120124,22730,,
20120125,26050,,
20120126,21140,,
20120127,23780,,
20120128,22110,,
20120129,23260,,
20120130,21940,,
20120131,20830,,
20120201,26360,,
20120202,30990,,
20120203,33040,,
20120204,32710,,
20120205,31650,,
20120206,25860,,
20120207,26900,,
20120208,30330,,
20120209,27510,,
20120210,25540,,
20120211,30950,,
20120212,34610,,
20120213,31660,,
20120214,27430,,
20120215,31080,,
20120216,28780,,
20120217,27050,,
20120218,29490,,
20120219,29300,,
20120220,27350,,
20120221,25390,,
20120222,36820,,
20120223,31360,,
20120224,30830,,
20120225,29120,,
20120226,32770,,
20120227,32730,,
20120228,28080,,
20120229,40210,,
20120301,31890,,
20120302,32470,,
20120303,27220,,
20120304,33510,,
20120305,32350,,
20120306,28430,,
20120307,27970,,
20120308,24320,,
20120309,27330,,
20120310,19420,,
20120311,22280,,
20120312,28070,,
20120313,23570,,
20120314,12860,,
20120315,27800,,
20120316,26250,,
20120317,18900,,
20120318,19150,,
20120319,10420,,
20120320,8383,,
20120321,2170,,
20120322,0,,
20120323,0,,
20120324,0,,
20120325,0,,
20120326,0,,
20120327,0,,
20120328,0,,
20120329,0,,
20120330,0,,
20120331,0,,
20120401,0,,
20120402,0,,
20120403,0,,
20120404,0,,
20120405,0,,
20120406,0,,
20120407,0,,
20120408,0,,
20120409,0,,
20120410,0,,
20120411,0,,
20120412,0,,
20120413,0,,
20120414,0,,
20120415,0,,
20120416,0,,
20120417,0,,
20120418,0,,
20120419,0,,
20120420,0,,
20120421,0,,
20120422,0,,
20120423,0,,
20120424,0,,
20120425,0,,
20120426,0,,
20120427,0,,
20120428,0,,
20120429,0,,
20120430,0,,
20120501,0,,
20120502,0,,
20120503,0,,
20120504,0,,
20120505,0,,
20120506,0,,
20120507,0,,
20120508,0,,
20120509,0,,
20120510,0,,
20120511,0,,
20120512,0,,
20120513,0,,
20120514,0,,
20120515,0,,
20120516,0,,
20120517,0,,
20120518,0,,
20120519,0,,
20120520,0,,
20120521,0,,
20120522,0,,
20120523,0,,
20120524,0,,
20120525,0,,
20120526,0,,
20120527,0,,
20120528,0,,
20120529,0,,
20120530,0,,
20120531,0,,
20120601,0,,
20120602,0,,
20120603,0,,
20120604,0,,
20120605,0,,
20120606,0,,
20120607,0,,
20120608,382.2,,
20120609,0,,
20120610,0,,
20120611,0,,
20120612,0,,
20120613,0,,
20120614,0,,
20120615,1119,,
20120616,104.3,,
